Data,Instituição,Curso
2024-11-03 18:45:52,Fucape,Administração
2024-11-03 18:45:52,Fucape,Ciência de Dados para Negócios
2024-11-03 18:45:52,Fucape,Contador Global
2024-11-03 18:45:52,Fucape,Direito
2024-11-03 18:45:52,Fucape,Economia
2024-11-03 18:45:52,Fucape,MBA
2024-11-03 18:45:52,Fucape,Mestrado
2024-11-03 18:45:52,Fucape,Doutorado
2024-11-03 18:45:54,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 18:45:55,IFES,Engenharia de Controle e Automação
2024-11-03 18:45:55,IFES,Sistemas de Informação
2024-11-03 18:45:55,IFES,Tecnologia em Sistemas para Internet - EaD
