Data,Instituição,Curso
2024-10-26 16:40:06,Fucape,Administração
2024-10-26 16:40:06,Fucape,Ciência de Dados para Negócios
2024-10-26 16:40:06,Fucape,Contador Global
2024-10-26 16:40:06,Fucape,Direito
2024-10-26 16:40:06,Fucape,Economia
2024-10-26 16:40:06,Fucape,MBA
2024-10-26 16:40:06,Fucape,Mestrado
2024-10-26 16:40:06,Fucape,Doutorado
2024-10-26 16:40:08,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-26 16:40:08,IFES,Engenharia de Controle e Automação
2024-10-26 16:40:08,IFES,Sistemas de Informação
2024-10-26 16:40:08,IFES,Tecnologia em Sistemas para Internet - EaD
